# formato: usuario;password;pokemon1,pokemon2,pokemon3,pokemon4
# archivo generado por GestorUsuarios.guardar()
ash;pikachu123;pikachu,charizard,bulbasaur,squirtle
misty;agua123;blastoise,gyarados,lapras,squirtle
brock;roca123;onix,machamp,snorlax,pidgeot
gary;rival123;blastoise,arcanine,alakazam,pidgeot
red;pallet123;charizard,snorlax,lapras,venusaur
blue;viridian123;blastoise,pidgeot,machamp,gengar
erika;planta123;venusaur,bulbasaur,lapras,alakazam
sabrina;psi123;alakazam,gengar,pidgeot,snorlax
lance;dragon123;dragonite,gyarados,charizard,arcanine
giovanni;tierra123;onix,machamp,arcanine,gengar
marcelo;123;mewtwo,ditto,mew
